,lr_history,train_loss_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_epoch_loss_history,rmse_val_history
100,1.7713083128726764e-06,3.1537876,,,8.073376,,
101,1.7888460189407226e-06,10.658255,,,4.066652,,
102,1.806383725008769e-06,3.5481293,,,8.861346,,
103,1.8239214310768152e-06,7.6579766,,,10.044454,,
104,1.8414591371448617e-06,2.313699,,,8.756293,,
105,1.8589968432129079e-06,6.1658425,,,11.191437,,
106,1.876534549280954e-06,32.262577,,,4.2661085,,
107,1.8940722553490005e-06,38.58358,,,8.094262,,
108,1.9116099614170465e-06,10.82349,,,9.09596,,
109,1.9291476674850933e-06,7.9871964,,,4.5578885,,
110,1.9466853735531393e-06,7.9547873,,,4.4280424,,
111,1.9642230796211857e-06,123.50055,,,13.789806,,
112,1.9817607856892317e-06,2.1237624,,,7.42314,,
113,1.999298491757278e-06,5.718871,,,2.502582,,
114,2.0168361978253246e-06,152.35811,,,7.4560113,,
115,2.0343739038933706e-06,0.9375444,,,10.841476,,
116,2.0519116099614174e-06,0.77985805,,,1.9270154,,
117,2.0694493160294634e-06,133.48535,,,7.190283,,
118,2.08698702209751e-06,2.5317903,,,15.186628,,
119,2.1045247281655562e-06,95.92043,,,1.7561212,,
120,2.1220624342336022e-06,28.85799,,,1.3699758,,
121,2.1396001403016487e-06,5.267283,,,8.472133,,
122,2.157137846369695e-06,4.9270735,,,7.115748,,
123,2.1746755524377415e-06,59.92892,,,16.796549,,
124,2.1922132585057875e-06,111.14073,,,3.2573376,,
125,2.209750964573834e-06,10.540588,,,3.2524064,,
126,2.2272886706418803e-06,102.68607,,,6.5585985,,
127,2.2448263767099263e-06,6.9185896,,,6.601437,,
128,2.2623640827779727e-06,61.309048,,,10.490792,,
129,2.279901788846019e-06,42.813686,,,8.493407,,
130,2.2974394949140656e-06,55.503563,,,6.400788,,
131,2.3149772009821116e-06,82.20556,,,6.421808,,
132,2.332514907050158e-06,13.195634,,,1.9129052,,
133,2.3500526131182044e-06,77.304924,,,2.9604673,,
134,2.3675903191862504e-06,11.757849,,,7.401024,,
135,2.385128025254297e-06,3.9090002,,,6.713322,,
136,2.4026657313223432e-06,118.34352,,,5.158295,,
137,2.4202034373903897e-06,42.770214,,,14.785737,,
138,2.4377411434584357e-06,10.084602,,,10.460118,,
139,2.455278849526482e-06,4.0940623,,,4.7343802,,
140,2.4728165555945285e-06,18.683332,,,4.689728,,
141,2.4903542616625745e-06,83.2613,,,9.219309,,
142,2.507891967730621e-06,4.630812,,,4.89453,,
143,2.5254296737986673e-06,9.780039,,,2.969719,,
144,2.5429673798667137e-06,75.64337,,,13.50462,,
145,2.5605050859347597e-06,39.279537,,,2.0356956,,
146,2.578042792002806e-06,7.1515217,,,5.1167974,,
147,2.5955804980708526e-06,2.3541875,,,2.9237852,,
148,2.6131182041388986e-06,8.433961,,,6.0029416,,
149,2.630655910206945e-06,43.38963,,,5.3862147,,
150,2.6481936162749914e-06,7.760628,,,1.429744,,
151,2.665731322343038e-06,12.506805,,,5.5418005,,
152,2.683269028411084e-06,137.313,,,1.183151,,
153,2.7008067344791302e-06,7.750734,,,6.1936874,,
154,2.7183444405471767e-06,60.13196,,,5.4522624,,
155,2.7358821466152226e-06,85.71068,,,15.31073,,
156,2.753419852683269e-06,2.5804107,,,6.583353,,
157,2.7709575587513155e-06,0.4817117,,,3.1412747,,
158,2.788495264819362e-06,4.7955875,,,2.0903363,,
159,2.806032970887408e-06,13.675162,,,2.4706893,,
160,2.8235706769554543e-06,30.76728,,,4.1308694,,
161,2.8411083830235007e-06,65.837524,,,6.115857,,
162,2.8586460890915467e-06,35.590992,,,2.5181696,,
163,2.8761837951595936e-06,2.8817003,,,4.2346587,,
164,2.8937215012276396e-06,77.70802,,,7.3313265,,
165,2.911259207295686e-06,59.513523,,,5.084409,,
166,2.928796913363732e-06,3.202857,,,3.4226465,,
167,2.9463346194317784e-06,7.012247,,,19.285204,,
168,2.963872325499825e-06,54.01344,,,7.2894793,,
169,2.981410031567871e-06,6.8415976,,,8.442983,,
170,2.9989477376359177e-06,60.412643,,,7.033331,,
171,3.0164854437039637e-06,27.887701,,,9.21466,,
172,3.0340231497720096e-06,155.03139,,,5.657795,,
173,3.0515608558400565e-06,2.8438332,,,6.5779123,,
174,3.0690985619081025e-06,47.776176,,,11.488305,,
175,3.086636267976149e-06,12.998654,,,14.282614,,
176,3.104173974044195e-06,73.0196,,,2.930755,,
177,3.1217116801122417e-06,6.31093,,,6.461723,,
178,3.139249386180288e-06,42.938313,,,1.558518,,
179,3.1567870922483337e-06,79.66405,,,4.78164,,
180,3.1743247983163806e-06,5.179674,,,9.322244,,
181,3.191862504384427e-06,7.2537804,,,5.3442903,,
182,3.2094002104524726e-06,4.9597845,,,1.6577917,,
183,3.2269379165205194e-06,8.866758,,,8.2083025,,
184,3.244475622588566e-06,4.3357053,,,13.272262,,
185,3.2620133286566122e-06,81.045555,,,10.892144,,
186,3.2795510347246582e-06,29.248146,,,7.397,,
187,3.2970887407927047e-06,51.306015,,,4.605514,,
188,3.314626446860751e-06,4.3220987,,,5.412045,,
189,3.3321641529287966e-06,98.347725,,,1.7270226,,
190,3.3497018589968435e-06,2.4181495,,,18.265537,,
191,3.36723956506489e-06,53.67905,,,10.956159,,
192,3.3847772711329355e-06,5.987545,,,3.0259666,,
193,3.4023149772009823e-06,8.152211,,,6.8905206,,
194,3.4198526832690287e-06,101.39009,,,11.696341,,
195,3.437390389337075e-06,155.86116,,,16.70989,,
196,3.454928095405121e-06,10.226277,,,16.946413,,
197,3.4724658014731676e-06,48.32212,,,15.109769,,
198,3.490003507541214e-06,95.505104,,,13.783326,,
199,3.5075412136092596e-06,4.071941,,,6.6440263,,
200,3.5250789196773064e-06,65.419525,,,15.661265,,
201,3.542616625745353e-06,47.95074,,,1.9096425,,
202,3.5601543318133992e-06,2.616767,,,2.4636393,,
203,3.5776920378814452e-06,78.696266,,,24.84531,,
204,3.5952297439494916e-06,4.314345,,,11.035799,,
205,3.612767450017538e-06,50.816685,,,2.4311366,,
206,3.630305156085584e-06,4.8078074,,,3.3432114,,
207,3.6478428621536305e-06,9.669207,,,5.5262346,,
208,3.665380568221677e-06,77.26629,,,6.5293474,,
209,3.6829182742897233e-06,13.107205,,,5.184885,,
210,3.7004559803577693e-06,15.293255,,,6.1294827,,
211,3.7179936864258157e-06,71.38746,,,2.333475,,
212,3.735531392493862e-06,31.664982,,,1.8749566,,
213,3.753069098561908e-06,11.479112,,,7.8454185,,
214,3.7706068046299546e-06,2.5261292,,,2.8140273,,
215,3.788144510698001e-06,9.662646,,,24.309864,,
216,3.8056822167660474e-06,105.068985,,,16.812563,,
217,3.823219922834093e-06,11.953569,,,3.3872905,,
218,3.84075762890214e-06,76.17037,,,3.802494,,
219,3.858295334970187e-06,9.545375,,,7.831037,,
220,3.875833041038232e-06,54.29086,,,6.133059,,
221,3.893370747106279e-06,44.02951,,,19.380777,,
222,3.9109084531743255e-06,132.04309,,,4.028546,,
223,3.9284461592423715e-06,88.99545,,,9.677686,,
224,3.9459838653104175e-06,3.202173,,,7.562942,,
225,3.9635215713784635e-06,0.89403075,,,3.447112,,
226,3.98105927744651e-06,1.603469,,,10.466654,,
227,3.998596983514556e-06,50.108963,,,7.0026402,,
228,4.016134689582602e-06,2.2290614,,,3.822017,,
229,4.033672395650649e-06,4.1735926,,,11.317334,,
230,4.051210101718696e-06,98.78701,,,5.909951,,
231,4.068747807786741e-06,9.251325,,,2.4243193,,
232,4.086285513854788e-06,36.335987,,,2.8372898,,
