day,mixed_setting,mixed_time,night,rural,urban
-0.31514576,0.5102614,2.0995898,-0.35991448,0.85033804,-0.37370464
3.0595148,2.263644,0.30553314,-10.620871,1.2740318,-0.022355208
-0.65452677,-0.674263,-0.43859544,0.79547024,-1.4910524,-11.320609
-1.6548967,-0.070307404,0.24936421,0.3226052,-0.43895915,-0.121807024
0.85033804,-0.12749913,0.36130676,0.6303086,-2.0970986,0.24636747
-0.49178383,0.75528055,0.8993344,0.58065486,-0.021753523,0.20038044
-0.16087143,-0.236456,-0.04772509,0.53070736,-0.43829834,-4.054916
-0.7290339,1.2693957,1.3045819,-4.1951056,1.9654517,-10.384356
-0.99831665,-0.3450927,0.684694,-7.525427,0.4427055,-8.642263
1.0477817,2.3710182,-0.2785829,-0.24770021,2.5059416,-8.043763
-0.5694431,0.030105764,-0.3673444,-7.7855973,-0.77882254,0.6173919
0.40239716,-0.26910582,-0.10433455,-1.6794956,0.53371096,-0.3464263
-0.02657285,-0.65416133,0.2564531,-8.698261,1.4104954,-4.147178
-0.6767317,-0.5814813,-0.86428523,-9.444895,1.0477817,-11.967483
-0.86642313,0.28126162,-0.6032901,-2.8292487,-0.732583,-3.3736145
-0.5280624,-0.635501,-0.4617754,0.6182546,0.88135046,-2.9130175
-0.44069573,-0.17797253,-0.39416677,0.703623,0.77613485,-0.65957
0.27248868,-0.00524217,0.35019913,-1.1779822,-0.5608678,0.082201324
0.7657256,-0.6366206,0.3015699,-6.456804,-0.2549477,-12.543106
-1.9562429,-0.09099177,-0.7453179,-12.9843,-0.52957696,-8.613475
-0.44712123,-0.3489552,0.09618613,0.27037218,0.64197946,0.9207197
-1.8589691,-0.13669385,-0.61169803,-8.5639925,0.55555034,-8.5639925
0.7162819,-0.79954875,-0.26034972,0.14221905,0.4960049,-3.216213
-0.032337528,1.1596721,-0.2232618,0.44346878,0.83030164,-0.1484326
-1.8618566,1.7777547,0.3479759,-9.39305,0.7312742,-7.2047496
-1.203131,2.64364,0.49656838,0.006229559,0.11168042,-0.19620742
0.33868858,1.6826631,-1.1288526,-10.9078665,-0.68212414,-0.21487603
-1.0985804,0.8361859,1.3275548,-1.4287406,0.8778381,-0.2959346
-0.9400867,-0.6527987,-0.35108194,-0.52166164,-1.008491,-1.2957892
-0.50307417,1.1395248,0.17362563,-7.919456,-1.3293153,-1.4287406
0.30130354,0.50825316,1.5984384,0.24058977,1.3470225,-4.5993705
-1.0067903,-0.17855822,-0.18324713,-10.160523,1.5257652,0.8469383
0.9443035,-0.067536905,0.04484702,0.26936302,0.44957882,-10.124412
-0.30636215,0.92767113,0.7197721,-2.4161623,-1.0204883,-0.25853693
2.464882,-0.6824784,1.6205511,0.061569884,-0.49451593,-0.5389847
0.171518,0.20240752,-0.36825645,-8.754208,1.1193177,-9.39305
0.07178016,-0.18158911,1.2843304,1.0245957,1.4110607,-0.32069445
-0.18821162,0.2233096,-0.19120175,0.5970917,2.6391952,0.8020785
-0.74169534,0.13368493,-0.2880154,-0.86068577,-1.9774779,-0.41294467
0.99742615,0.2924943,-0.028670358,-5.4520445,-0.81158096,-2.9884398
-0.60970366,-0.026066775,-0.4643538,-0.08332489,-1.2044373,0.0013557925
2.506715,2.0144753,2.263644,-4.054916,-0.25199983,-12.33193
0.4673386,0.41472906,0.28544724,0.49933526,3.356232,-0.08628364
-1.2539253,0.67186177,1.379664,0.18924874,-0.5280419,0.20466085
0.9580296,-0.7441405,0.11668609,0.9522103,1.2143614,0.93991446
-0.5669193,0.75542825,-0.122957915,-0.3832961,1.522292,-14.307904
-0.86450726,0.62565553,0.08822896,-8.003933,-0.35055986,0.25203055
0.3882006,2.4133892,-0.310958,-10.040846,0.8676833,-0.15907851
-0.08300899,0.72241795,-0.82794183,-8.9086685,-0.49974102,-11.7115555
0.47406292,-0.2944091,-0.21995836,-0.35746947,-0.9932256,-3.570184
-0.14320174,0.37889448,-1.4493319,-0.49463716,1.3613011,0.12730192
-0.6128353,-0.4621326,-0.42129543,0.082201324,1.0142181,-0.24548915
-0.10293148,0.72623944,-0.76821184,-0.24811003,0.34784102,0.5352467
