day,mixed_setting,mixed_time,night,rural,urban
1.1720433,-0.40548953,0.54645264,-0.5136746,-0.06989844,-0.31117657
0.75835925,-1.5599152,-1.3824806,0.87511796,0.07379677,2.141815
-1.7345845,0.754046,1.3956689,1.6538969,-0.07828677,-0.22270001
0.06253625,0.4201454,1.5684607,0.18820073,0.6428275,0.2707474
-1.3581489,1.2128707,1.0276493,-0.68466324,-1.2694691,-0.96184427
-0.58268,-0.79265535,-0.02644259,2.2065701,-0.7949896,0.023880368
7.911394,-0.10405451,1.0024459,-0.5367128,-0.6909078,1.812225
-0.28261614,1.2185104,1.2579774,-0.24164525,1.1969026,-0.21716414
1.131653,-0.24097419,1.0964445,-0.06109241,-0.69862586,-0.4719558
-0.45054486,0.054381534,-2.5119112,-0.2543289,0.9454313,4.361233
-0.5166013,0.12916058,0.053359143,0.6197321,-0.40732172,-0.5661911
-0.2149691,1.665235,-0.51848644,-0.85204214,-0.008891198,0.8830068
-0.552517,0.8135318,-0.62088466,0.34518877,-0.1760304,-1.1088462
0.17911743,0.6071577,0.8142584,-0.084421135,0.71448386,0.079814814
0.06823529,0.37498826,0.26109335,-0.95721513,-2.138218,-1.1366339
-0.5719088,0.6923899,-0.77341986,-0.32211512,0.041216988,-0.28424728
0.37259704,0.8274415,0.3960673,2.1673095,0.363629,-0.058619667
-0.47200274,-1.0547843,0.20833613,0.28959444,-0.11538579,1.1632401
-1.4239066,-0.09637652,-1.7471743,-0.8924393,-1.5579354,-1.5338435
-1.716365,-0.6265742,1.1630275,-0.5661911,-0.42209372,1.6865853
0.04016322,1.038006,-0.3847915,0.39032137,0.6130234,0.7441337
1.0153724,0.30180556,1.4481162,1.3502339,1.7713583,0.06480398
0.83544564,-1.7686398,-0.31584865,-0.79355526,0.8204884,0.9482522
-0.5777076,1.9547983,0.96552575,1.4228333,0.6392109,-0.476614
-2.810418,-0.67054015,0.85002214,0.8398315,0.5836909,-0.5544679
-1.0099715,0.7028179,0.8474719,-0.22736332,0.043136805,-0.36782616
0.31692418,0.24427317,-0.025956426,-0.5500555,3.9617622,1.8566374
-0.8527068,-0.45204067,0.7024888,0.14198361,2.1217504,2.939387
2.0811431,0.57887995,-1.4078965,0.6742387,1.9209787,-0.5018686
-1.2209748,-0.7499812,-0.6774813,-0.23648462,-1.6121124,-0.53081155
0.13388366,-0.3696225,0.10784868,2.0401747,0.04192091,1.7342685
0.6476718,0.14578995,-0.8545283,0.94408065,-0.65701467,1.8688883
0.36769125,1.4848096,-1.0049838,-0.6141531,-0.25279555,-0.58685327
-1.9482875,-1.2307863,0.69896567,-1.052947,0.34274912,0.6193299
3.7671156,-1.0641272,1.0908021,-0.41637513,1.055995,1.4343883
0.19595897,1.0385832,0.7742241,-0.019997085,-0.81550235,-0.47050267
0.6101064,-0.68545043,-1.334933,-0.7026045,-2.1301258,0.6920671
-1.909731,1.021658,1.2383507,0.63352734,0.69382083,3.1196797
0.12091099,1.9806694,0.0016225968,0.13397415,1.3160323,-0.8714138
1.0289834,1.0191001,-0.51461715,0.1247312,-0.11899897,0.13161902
0.69980407,-0.6022933,0.9312587,0.01753224,0.80475676,-1.4313549
0.5080619,1.2804521,-0.8046065,2.2888656,-0.003835151,-0.52390516
1.9043694,0.66131425,0.0026347453,-0.24312569,0.07232145,1.2748163
-0.04285794,-2.3654404,1.4141515,0.12529299,0.24281001,1.7340671
0.3425203,-0.8990697,-0.5280863,-0.077447936,1.1852316,0.22667518
-1.1121699,0.10816885,0.60968316,-1.0996826,-0.6943502,0.8398315
0.21339303,0.7011206,0.4201454,0.40606412,-0.39302272,-0.22736332
-0.7730826,1.462357,-0.08768938,1.0800313,-0.18406335,0.18460634
0.5724902,-0.28343576,-0.6069784,-0.2621482,-3.536308,1.7296087
-0.39631188,2.2540152,-0.61085707,0.564259,0.74792105,0.7286462
-0.2516071,1.1440333,-0.13186362,-0.7147246,-1.8169003,0.2351651
-0.010778038,-0.38778397,0.49305937,3.637395,-0.051783077,1.7038282
-0.37847784,0.31592014,-0.7848698,-0.11520138,-0.035062775,-0.44276613
-0.12959258,-0.66144234,-0.6776623,-0.21745785,7.911394,-0.23112334
0.78133947,-1.4162985,-0.19689386,-0.97243106,0.3824257,1.9621322
-0.28969562,-0.5190397,-0.6702541,0.97776204,-0.5445556,-0.690089
0.5435319,0.28889138,-0.46723443,-0.3597187,0.027611038,0.34065822
0.47601804,-0.16727644,1.4848096,0.2707474,1.3463446,0.69969136
0.4906671,-0.64605904,-0.6832682,0.30936316,-0.43318126,-0.3483806
0.27657482,0.98222214,0.26354626,0.6953286,-0.05762972,-0.1811358
-0.47518647,-0.55465746,-3.8652384,-1.1120743,-0.66773975,-0.84003466
-0.89682895,1.1201851,-0.06851021,1.8887094,0.82825005,-0.9951517
0.63647145,1.1123543,-0.2195308,1.9437138,0.3476122,1.6974872
-2.4248075,1.7173775,-1.2634517,-0.28424728,0.96385574,2.7769597
1.183308,-0.7261037,-0.3043293,-0.2800685,-1.0053014,-0.6092016
0.84143996,-2.2886913,0.26445636,-0.9951517,-0.6479971,0.117594294
0.037333813,-0.13881505,-0.25313532,-0.41332546,-0.55963576,-0.2621482
-0.8526466,2.0864553,0.63887537,0.09955683,-0.091652595,2.430135
-0.48167643,-1.6574033,1.3169287,1.8550528,-0.37715107,0.34565535
0.4674306,0.9239242,1.7010517,2.1985703,-0.6102757,-0.12100216
-0.40789717,0.07876232,0.27319047,-2.0537643,-0.23479798,-0.44248694
-0.011443981,0.31369862,-0.6456953,0.39627603,-1.492748,0.83164376
0.09977924,-0.31155735,-1.6008323,-0.041549746,-1.8451823,-0.5805994
1.0012647,0.022673773,-1.2307863,-0.8858823,0.77366745,-0.15398832
1.6666464,0.723193,0.5480919,-1.1366339,-0.63255125,1.5895591
-0.90475583,1.2597694,-0.68545043,0.010930009,-0.21368928,0.23975927
-1.6315622,0.16409016,0.32239687,-0.053978983,-1.137664,-0.021128336
-0.4672912,1.0324931,1.261372,0.025462944,1.190017,4.8292756
0.6606466,0.4376614,1.0931075,1.7897904,-0.6653003,-0.5264645
-0.68523526,1.6784881,-0.46555847,-0.39112565,-1.5946305,1.537984
-0.43740615,1.8471806,0.09761364,1.6676214,-0.21214396,-1.1425471
-0.37945798,2.2968867,-1.4310441,-0.52725685,-0.5439801,0.39032137
0.3824257,-0.6846573,-2.656858,0.04990819,-1.0004758,1.2387565
-0.14197145,-0.9086593,1.2186406,-0.5977448,-0.6912864,-1.1888968
-0.55255884,1.7795178,-0.07942261,0.5693739,0.631982,1.215929
-1.3559718,-0.27285665,0.0126170665,1.6361177,0.027843265,3.2486777
-0.54697174,0.39155167,-0.25390032,-0.65380615,0.756983,-0.34932658
1.3463446,1.4101813,-0.31155735,-1.0217702,1.6784403,-0.4626087
-0.9386114,0.18879154,1.4195284,-0.10465429,-0.63631064,-1.5740546
-1.367093,0.7873893,1.1331984,-0.020085877,-2.0773404,-1.1223212
0.14880933,-2.1900923,0.6109636,-0.6580067,0.9306849,1.6889682
-0.5417603,-1.7702799,0.4376614,2.159943,1.1211823,1.689408
0.467926,0.7077851,-0.43530843,1.3843513,-1.616383,1.0249379
-2.736819,1.1364197,0.68993956,0.51310086,-0.29361787,-0.17127381
0.52952063,0.7044264,-1.1236616,-1.910513,2.3205874,-0.2730641
-1.1324111,-0.2257514,-0.104168914,2.0946763,0.3133349,-0.20405872
-1.6121124,1.9390846,-0.35598433,-0.68738836,-0.46386117,2.0034413
-0.14340174,1.8151705,1.0837657,-0.39114442,0.28257516,-1.1444801
-0.6943502,0.7474113,-1.436498,2.4990323,-0.77424973,-1.8098251
0.035312075,0.41805494,-1.1920387,-1.5740546,-1.0071694,0.38045603
0.7989716,-0.26943558,-1.048072,-0.6382299,0.6606466,-0.44791695
-0.30424392,-0.6069323,1.7707537,-0.19749106,1.8075066,0.7956265
-1.1371906,0.13434981,0.4828414,0.29328373,-0.5599218,0.217927
-0.16111134,0.54331076,0.67787236,-1.0611587,0.52629423,0.04990819
0.377899,-0.8046065,-0.12403794,0.8830068,-0.41355428,-0.36573613
-0.65087944,0.15200073,1.2711297,-0.30623066,-0.072481215,0.1393333
-0.8103302,0.60968316,-1.7370083,-0.20657223,-0.2764263,1.1285871
0.1470608,1.6170012,-1.6491773,0.1277843,-0.3814985,-0.7026045
-0.027008275,-2.3639908,-0.32364678,2.8330364,-0.051024925,5.0199013
-0.6707724,-1.9145327,-0.13881505,1.8227963,6.0350385,-1.052947
0.24842422,0.1484627,-0.7164757,0.47423494,0.1860821,-0.3245057
1.907781,0.10270299,0.221147,-1.4313549,-0.17685749,1.8550528
0.5488791,0.014860784,0.35315534,0.5534357,-0.5426658,-0.48605183
-0.16183108,1.5516784,-0.7723014,-0.33241162,-0.8666378,1.2645633
-1.5991658,0.3783058,2.4534936,0.15675923,-1.2843026,0.61542565
0.39815903,-0.730376,-1.0943055,-1.1465325,0.47879732,-2.226895
-0.9474974,-2.1400604,-0.556978,4.1519046,-0.62428266,-0.73911864
-1.9284885,-0.17456767,-0.6033315,-0.44791695,-0.28338966,0.16910267
-0.08824263,-0.2646886,1.1201851,-0.6543321,1.5766006,-1.0310485
0.8045416,-0.41072997,1.538401,0.4870151,0.878615,2.89232
0.58764523,0.6540964,-0.31008032,-1.1251917,-0.51876307,-1.1501013
-2.0456586,-0.8677277,-1.3964868,-0.3291306,-0.34614372,-0.12831022
0.0009792784,-0.69292265,0.917267,-0.98983353,0.64033705,0.69323826
-0.32119134,1.6776583,-0.596909,-0.53176093,-1.1126617,0.1357547
-0.16540454,-1.2084594,1.2848469,-0.29207766,-0.45505023,-0.24312569
0.099082135,0.3447128,-0.8143976,-0.2599638,-0.5152131,-0.42351097
0.071894564,0.38170424,0.58597213,-0.64012873,-0.48717687,-0.14137125
0.027843265,0.41858384,-0.23930591,-0.20347954,-0.4507788,0.8476018
-0.28130132,-2.3840296,-0.34618556,-0.29420698,-0.33112258,0.34569463
0.30221877,1.1336969,-0.97439986,0.011888584,0.1526069,-0.32127756
-0.37525228,0.09275909,-0.75072485,5.162219,-0.57848966,-0.056536887
0.17920366,0.25338382,1.1065708,-0.4564547,0.4504629,-0.29664022
0.19463648,-0.48271847,0.2388517,1.8256795,-0.6942298,0.6953286
1.3306471,0.16411905,0.35194597,0.37852225,-0.65835506,-0.33395526
2.0906303,-0.26060927,-0.25347856,-1.4189461,0.18168986,-0.11520138
0.15909271,0.7031831,0.12797767,0.21125603,-0.80424535,1.1394325
0.24507229,-0.13267812,0.54658586,-0.54409623,-0.9887262,5.185449
-3.1602361,0.38126284,0.15720363,-0.22270001,0.9640901,-1.2084773
1.5766006,1.6696123,-2.63404,0.34032953,-0.17479222,0.14931305
-1.6081953,0.18290387,-0.36130333,-0.13725883,-0.8311435,1.8390983
0.009330892,-0.45442098,1.0326481,1.4133146,-0.3749876,-0.19911537
-0.48556837,-1.1236616,0.28614393,-0.7753084,0.8473396,1.5336062
-0.61418426,0.6605988,-0.22908367,0.99036545,-0.54847527,-0.36301312
0.17917635,0.31947866,1.0191001,-0.043101907,1.0163252,-0.48171613
0.26694426,-2.2624564,1.2843795,1.4546646,0.23831426,0.37852225
-0.8044972,2.0656097,-0.120530635,-0.45821345,-2.030366,0.14222886
1.2609519,0.8831912,-1.2343364,1.2818079,-0.8869094,4.2881665
0.3856922,0.06535125,-0.30660376,-0.96184427,2.5018947,-0.3291306
0.9822836,-0.117118955,-0.42063546,4.411398,0.62353134,1.1295143
0.5682922,0.9212357,-0.5922559,-0.6101561,0.38766044,0.33551937
-0.060798924,1.9265469,-1.1771592,0.7936035,0.37821916,0.87511796
-0.5087056,-0.15480964,0.073209375,0.42238528,-1.0024122,-0.015005925
1.1427077,-1.204176,-0.13146064,0.3640192,-0.2962603,0.93093425
-0.22202052,0.064978145,0.8104224,0.38045603,-0.014930366,-1.0611587
-0.1393653,0.024563067,-0.2944836,0.07590218,0.2676951,-1.0741086
-0.5692143,0.5648259,-1.481286,-0.04176191,-0.879555,-0.97243106
1.8885301,-0.6832682,1.6641858,-0.14137125,-1.70307,0.013231783
-1.0813811,-1.784222,0.46309042,0.0016830012,-0.21209016,0.13235454
-0.5599218,0.10795284,-0.83758605,-2.4490921,-1.9058139,-0.58916867
