day,mixed_setting,mixed_time,night,rural,urban
-4.2224946,-3.6650012,-1.9723878,1.2288474,0.5417535,-1.170801
-1.3135871,-0.37151703,-1.2844375,-0.77188647,-4.661409,2.0092793
-5.2864366,-0.047934264,0.2116983,-2.6750264,3.4856348,-0.1090525
-2.3248272,0.27018264,-7.1602154,0.84947056,0.16581307,0.029014641
-0.2846174,-0.6122897,0.3586737,-0.08097872,-2.062198,0.6717632
0.18924233,-5.9628754,-0.5132814,-2.6002622,0.11299181,-6.1390567
-3.505719,0.6445956,-0.9117527,1.1846116,-2.3567266,0.50387627
-6.8115826,-5.28061,-4.7413473,-3.0404074,1.8198065,3.6918204
-4.268899,-4.0213494,-0.34511235,-1.6918352,3.7404947,-1.2215947
2.8326967,-0.9758308,-6.934052,2.1101642,-3.0364287,-12.43318
1.7257437,-0.40133676,-2.7135758,-6.338227,-0.29128537,-3.7808561
0.21793084,2.1445854,-2.699335,-9.311714,-5.4511137,0.3684477
-0.8094149,-4.3418236,-0.31895956,-1.114937,-3.1082017,-0.799016
-1.0326767,0.9791306,2.4344568,-6.7254105,1.3161501,-4.170702
-2.9949389,-2.5559227,-0.21094014,0.95270973,-2.8637872,-17.225126
-1.4048537,-2.5091176,-0.407069,-0.38034844,4.9739246,-7.373389
-1.0257783,2.6255152,-1.8059343,0.33603847,2.1511338,-6.5700583
-0.46110263,-0.18147683,-1.7181408,4.0164733,-0.58438754,-3.322617
2.4923189,-0.33437872,-2.6207178,-7.8737373,-2.421332,-0.06711344
-1.5762641,-0.46460268,4.2892184,0.80848604,-6.2440476,-11.964652
-28.194954,-3.076795,1.6651009,-1.3736397,-1.410673,-0.7934767
3.7447364,-3.299916,-3.0759532,0.6820319,0.8742881,-7.7877274
-1.9099385,-1.9528415,0.52546006,1.5359195,-2.574147,-12.784826
-4.5879045,4.4732885,4.6022496,-8.640644,-3.2209787,0.21632574
-17.511946,-1.4982471,-2.091018,-0.40967986,-5.408572,0.040359586
-3.6503978,0.9842063,-0.8740729,0.16050602,1.5858742,-6.7925415
-3.676994,-5.4074664,-3.3586411,-0.9775554,-1.9322771,-26.742064
-3.56918,-5.6936584,-1.2317699,-0.6624805,0.00044054718,-6.8187003
0.7523154,-0.8165559,-4.6347656,1.5724273,6.286649,-4.1862617
-5.766247,-0.21736948,4.361058,-2.0254319,-0.0013660378,-4.938417
-5.204505,-5.243857,1.8002329,-1.08579,5.111515,-4.672924
-1.1055523,1.1491964,1.1216437,-5.880259,-5.9208045,-3.6819293
-3.579687,0.5889471,-4.727932,-4.176114,0.5921125,1.8547702
-6.136252,1.6396884,-0.5074572,1.7532711,1.028536,-3.4232702
-4.7963114,0.9863578,0.7022851,0.71926755,-1.9264513,-9.9122925
0.53939366,3.5226502,0.39279905,-1.0165404,-0.80888987,0.40212053
-7.0616126,-4.2245717,-1.7736925,2.2350671,2.8363452,-2.3050385
-1.8628964,-4.946363,0.5176225,-2.3370686,-5.113003,-0.46351367
6.2007885,2.450496,-6.3852477,-1.7275349,3.2808743,-6.1946764
4.102782,4.3441863,-4.8267474,0.639648,0.9744289,0.2383531
-1.082561,-0.69430405,1.1384218,-6.042576,-11.496407,-0.41774118
-2.694969,-1.2343876,-5.2126765,1.0385661,-1.1225227,0.17511238
-1.071561,0.89262885,1.5219718,-8.319935,-2.1809561,0.39109832
-1.5551665,-5.816075,-2.5635133,0.9059759,-2.2133567,-5.721266
-1.9184412,-6.199834,-4.672236,1.0797385,-1.7216926,-13.39866
-1.093836,-2.0249972,-8.384327,-1.2215947,-4.1707387,0.9390519
-0.11937804,-6.0459123,4.547864,-3.4366608,2.4923189,-0.30042586
-7.200179,-2.8278809,-5.3641973,-13.955141,2.6360106,-8.852296
-5.8630958,1.1050699,-0.54227066,-4.1731863,-5.7335677,1.7529855
0.72048074,-2.2439961,-1.0975713,-5.893491,-9.908597,-1.0319049
-6.264071,4.688952,-1.5536144,-3.209218,-0.98643297,-1.08579
-5.3295965,-2.317109,-0.94410455,-0.4466619,2.7537136,-2.5538895
-4.345947,-5.298384,-5.522188,-6.7925415,-4.2894797,0.3566417
-1.4188317,-1.935623,-2.0581338,0.67742324,-3.2624526,-13.995532
-4.541197,-1.7988173,3.303473,0.9323505,-2.8184278,-5.607837
-5.801023,-0.52208596,-2.6736853,0.05282468,-0.63470215,0.23270282
-2.867778,-0.31895956,-0.5586787,0.3684477,-0.145886,-12.403628
-1.2938981,-0.35976994,-2.2385192,-3.3862581,-3.6848936,-5.1135573
2.9286482,2.5360987,-1.929408,-1.1517645,-2.7194355,-9.507237
-6.536084,-2.7921422,-5.9241824,-0.022956265,-1.3200932,-16.932585
0.78752416,-0.39099073,0.17509872,-0.22081658,-25.951096,-2.926618
-3.986585,-3.661182,-0.09130255,-13.411986,3.8451931,-8.591826
-6.5553746,-1.6776907,-2.4410582,-26.772608,-1.7186804,1.9083453
-0.8980298,-2.5625503,2.4353106,1.447229,-3.1354856,0.26812845
-7.609626,0.520515,-2.669516,0.66349137,2.1040192,-3.248728
-2.5400448,4.6022496,-1.5723044,-2.9675035,-0.95042336,-26.772608
3.7449584,-0.005350599,1.5118955,3.4634662,-2.3530428,-2.5981019
0.2503213,2.2048311,-2.468898,-13.587522,-3.1675768,-11.834083
3.0865178,1.8328197,-0.024132125,1.2740513,-1.7149545,0.15965907
-3.5602384,-5.192427,-2.286399,0.61034226,-0.43785182,-1.3269862
-18.098768,2.037739,-0.92087847,-9.535347,-1.5028908,4.7948675
-0.9641785,-3.3826268,-2.9041724,-19.34024,-3.247034,-0.6624805
-1.7818947,-1.1949313,1.2710538,1.5615271,-2.162747,-13.955141
-1.9227246,-4.29467,1.6364193,0.16489783,5.1186833,-3.2005787
-3.3926864,-1.2136972,0.7148817,-1.1145263,-2.062408,-14.205115
1.6718048,-2.699335,-1.5538304,-6.7487464,4.1003094,2.456546
2.3898318,5.0234776,-3.2488036,-0.36793032,-5.9550004,-1.9512827
-0.5768265,-4.58424,0.0073595284,-13.25483,-4.8391204,1.8337221
-3.779613,0.8526305,-1.6740623,0.013150674,-2.2559636,0.84947056
-9.531386,-6.968456,-3.1171615,-5.7674584,-5.4029374,-26.499502
-1.6037164,-2.0836608,-6.0918674,-1.054349,-1.0714842,-2.8585987
-1.8142979,-2.375157,0.51475376,-2.8742783,-1.0556056,-3.0512297
-1.5705593,-3.4401083,-0.25854656,-4.051538,-0.079868816,0.05282468
-0.6688548,0.45515865,0.6376553,-8.190074,-4.1953626,-1.3736397
-1.5834042,-6.741036,-2.0519407,-8.236497,5.9054084,-0.84374434
-2.5302536,0.06376643,-4.777539,3.9588416,6.8527184,-5.607062
0.56063217,-0.21094014,0.7580673,-11.966554,-4.0873947,0.070111886
-2.2843053,-6.7415156,1.5417205,2.178738,4.163094,-2.589299
