,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_hitch_loss_hist,train_acc_yaw_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_hitch_loss_hist,val_acc_yaw_loss_hist,val_epoch_loss_history,rmse_val_history
29,4.213483146067416e-07,2.3426747,2.3315213,0.0013002004,0.0033523224,0.0013002004,0.0007406319,[0.01166689 0.00878019 0.14563508 0.2944604  0.14563508],0.010612757,0.003554781,8.612021e-06,0.007006305,8.612021e-06,0.0035619063,[0.12346233 0.02321068 0.30588397 0.8468276  0.30588397]
30,4.3539325842696633e-07,2.4718451,2.4583874,0.00024662964,0.01197812,0.00024662964,5.1514486e-05,[0.01363451 0.00873208 0.14332075 0.23647116 0.14332075],0.02414243,0.0024354153,4.1347736e-05,0.021458928,4.1347736e-05,0.0059546363,[0.11191021 0.02435248 0.33056602 0.9744189  0.33056602]
31,4.49438202247191e-07,1.6142929,1.5669714,0.001635178,0.037510403,0.001635178,8.2607265e-05,[0.01073309 0.00851476 0.13680637 0.3327302  0.13680635],0.057791352,0.0019097235,5.131938e-05,0.055573713,5.131938e-05,0.00815147,[0.12642445 0.02744697 0.36587265 1.0261947  0.36587268]
32,4.634831460674157e-07,2.238305,2.225265,0.00043200867,0.010448029,0.00043200867,0.00024235682,[0.01318051 0.00839018 0.13969475 0.22493228 0.13969475],0.009644898,0.0020224408,3.7380352e-05,0.007398175,3.7380352e-05,0.0011706483,[0.12906542 0.02369067 0.3458051  0.8614317  0.3458051 ]
33,4.775280898876405e-07,1.486144,1.3999118,0.0001933444,0.085072115,0.0001933444,3.9821753e-05,[0.00970322 0.00804772 0.12732168 0.2002134  0.12732168],0.007035918,0.00080063887,1.32477935e-05,0.0061557926,1.32477935e-05,0.0064309966,[0.13827951 0.02484263 0.37920916 0.8583094  0.37920916]
34,4.915730337078651e-07,2.521029,2.51178,0.00048095803,0.006363355,0.00048095803,2.9186165e-05,[0.00931299 0.00740734 0.12309463 0.2045545  0.12309463],0.011452675,0.00787551,2.3453325e-05,0.003436445,2.3453325e-05,0.0073663215,[0.12346279 0.02369013 0.3340055  0.9947255  0.3340055 ]
35,5.056179775280899e-07,1.3028917,1.2787547,0.0015789205,0.01466348,0.0015789205,,,0.0054827863,0.0015213325,5.647642e-06,0.003927568,5.647642e-06,,
36,5.196629213483146e-07,1.7196872,1.5963799,0.0015060472,0.114271,0.0015060472,,,0.029529938,0.0023454684,0.00016883554,0.026171457,0.00016883554,,
37,5.337078651685392e-07,1.2359574,1.0934644,0.0007409393,0.13804747,0.0007409393,,,0.0034295428,0.00044061083,1.7680002e-05,0.002882852,1.7680002e-05,,
38,5.47752808988764e-07,1.814259,1.7987368,0.00027020238,0.013901051,0.00027020238,,,0.0059014144,0.000578895,2.1086538e-05,0.0051960004,2.1086538e-05,,
39,5.617977528089888e-07,2.5928953,2.5862665,0.00028922886,0.004893192,0.00028922886,,,0.013444841,0.0016565621,6.706442e-05,0.0113858925,6.706442e-05,,
40,5.758426966292135e-07,1.8476708,1.8332349,0.00078171864,0.009745498,0.00078171864,,,0.024419064,0.0002048889,2.9002547e-05,0.024040159,2.9002547e-05,,
41,5.898876404494382e-07,1.3183866,1.2651613,0.0012371156,0.04580256,0.0012371156,,,0.036297373,0.0024265568,1.9929008e-05,0.033751242,1.9929008e-05,,
42,6.03932584269663e-07,1.8756472,1.8511146,0.0003553192,0.022400599,0.0003553192,,,0.020606732,0.00065615954,7.977584e-06,0.019902706,7.977584e-06,,
43,6.179775280898876e-07,2.0462842,1.9685483,0.00067104417,0.07370972,0.00067104417,,,0.015181401,0.001691759,1.0718586e-05,0.013425331,1.0718586e-05,,
44,6.320224719101124e-07,0.71039754,0.689404,0.0007327208,0.016597206,0.0007327208,,,0.016186373,0.0011409686,8.437572e-06,0.0149947805,8.437572e-06,,
45,6.460674157303371e-07,2.8174584,2.759295,0.00062855607,0.05439216,0.00062855607,,,0.03549274,0.002484949,5.2141066e-05,0.032694943,5.2141066e-05,,
46,6.601123595505619e-07,2.7292125,2.72184,0.0005738966,0.003929415,0.0005738966,,,0.0064941407,0.0030234898,8.992272e-06,0.003416697,8.992272e-06,,
47,6.741573033707865e-07,3.330392,3.3264778,0.00013570226,0.003100031,0.00013570226,,,0.03589782,0.0040945727,2.8212606e-05,0.031633973,2.8212606e-05,,
48,6.882022471910113e-07,1.5970294,1.5041045,0.0010658576,0.086529806,0.0010658576,,,0.007522059,0.0018522916,2.4905035e-05,0.0055203373,2.4905035e-05,,
49,7.02247191011236e-07,2.8272464,2.8229187,0.00034704746,0.0022453777,0.00034704746,,,0.0500077,0.0019551173,7.989996e-06,0.048004642,7.989996e-06,,
