,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,resnet18,resnet34,mobilenetv2,inceptionv3,googlenet,densenet121
136,136,136,136,136,136,-4.5226183,-4.1614456,-4.1640673,0.038952567,0.21790047,-4.78126
137,137,137,137,137,137,-4.420347,-4.1010346,-4.391815,0.08284293,-3.27763,-4.7172747
138,138,138,138,138,138,-4.4710207,-3.856686,-4.155234,-0.0048071723,-2.3728166,-4.4363894
139,139,139,139,139,139,-4.335305,-3.666745,-3.9361331,0.028158307,1.6115229,-4.448491
140,140,140,140,140,140,-4.5105233,-3.553185,-4.137422,-0.10989133,1.8546095,-4.2838516
141,141,141,141,141,141,-4.1404853,-3.4520807,-3.9859474,-0.17889331,-1.4873437,-4.263666
142,142,142,142,142,142,-4.3517275,-3.3819907,-4.3124647,-0.1483914,3.1714947,-4.1693234
143,143,143,143,143,143,-4.069151,-3.084973,-3.7253048,-0.20966288,-0.12421846,-4.1247334
144,144,144,144,144,144,-4.209611,-3.011527,-3.9975567,-0.27348715,3.5859623,-3.690816
145,145,145,145,145,145,-3.488054,-2.9340084,-3.5915515,-0.30899346,4.1063285,-3.9189262
146,146,146,146,146,146,-3.4125152,-2.9204004,-3.6648662,-0.2005369,2.6860206,-3.6991675
147,147,147,147,147,147,-3.5221083,-2.9560375,-3.6701005,-0.25379017,2.0926785,-3.6647987
148,148,148,148,148,148,-3.2018712,-2.7849298,-3.3944182,0.016236639,2.7006087,-3.5287395
149,149,149,149,149,149,-3.1207922,-2.8873453,-3.3452613,-0.114037685,3.7789044,-3.5609539
150,150,150,150,150,150,-3.033207,-2.5955431,-3.768145,-0.061776068,-1.4508669,-3.8772616
151,151,151,151,151,151,-2.9697156,-2.3596487,-3.3034763,0.009811993,3.49805,-3.43261
152,152,152,152,152,152,-2.9035673,-2.583403,-3.534323,0.100094706,4.396496,-3.484798
153,153,153,153,153,153,-2.7583706,-2.2307806,-3.109195,0.11627628,2.6074886,-3.1461782
154,154,154,154,154,154,-2.676436,-1.9343505,-2.9925458,0.1917089,3.6545553,-3.0473936
155,155,155,155,155,155,-2.585583,-2.0451763,-3.0410857,0.05883866,2.1191382,-3.129523
156,156,156,156,156,156,-2.4806073,-1.9063953,-3.2462044,0.3708323,3.064927,-3.0687091
157,157,157,157,157,157,-2.163961,-1.7564914,-2.9884868,0.2351032,1.83458,-2.8251638
158,158,158,158,158,158,-2.1254668,-1.6906451,-2.7357786,0.5208544,3.094187,-2.5566373
159,159,159,159,159,159,-1.9953508,-1.7421035,-2.8762794,0.41388127,4.4439635,-2.4880984
160,160,160,160,160,160,-2.0808582,-1.6063498,-2.608394,0.5634577,2.7812932,-2.364288
161,161,161,161,161,161,-1.792931,-1.484168,-2.5591981,0.56535906,3.2259917,-2.2336981
162,162,162,162,162,162,-1.7244041,-1.3706584,-2.4429562,0.59418803,1.7968923,-2.055938
163,163,163,163,163,163,-1.5809473,-1.2146665,-2.1599998,0.5150317,1.1472399,-1.9099773
164,164,164,164,164,164,-1.4192537,-1.2661136,-1.7900392,0.569131,2.1299138,-1.5067645
165,165,165,165,165,165,-1.4091228,-1.0848732,-1.9536054,0.6782369,0.99125123,-1.5825946
166,166,166,166,166,166,-1.1247032,-0.84478253,-1.6799065,0.67397827,0.9448372,-1.4186561
167,167,167,167,167,167,-1.2734021,-0.73630995,-1.4206915,0.46831828,0.94666374,-1.4718184
168,168,168,168,168,168,-0.9161485,-0.6009789,-1.6352118,1.0506918,1.804828,-1.1962754
169,169,169,169,169,169,-0.7747018,-0.43437204,-1.2636706,1.0809436,2.2937593,-1.1001027
170,170,170,170,170,170,-0.79166776,-0.38346386,-1.164322,1.1815732,2.2380044,-1.0399703
171,171,171,171,171,171,-0.7017248,-0.21142487,-0.80163246,1.482706,2.4479215,-0.90786505
172,172,172,172,172,172,-0.47747427,-0.036001712,-0.4577234,1.457044,3.3572206,-0.6104458
173,173,173,173,173,173,-0.36286786,0.07948547,-0.45117494,1.4849919,3.0572765,-0.45846468
174,174,174,174,174,174,-0.109753236,0.25544906,-0.33953664,1.6369628,3.2854376,-0.24520506
175,175,175,175,175,175,-0.1519559,0.26393878,-0.36739105,1.1492143,3.2599344,-0.050079584
176,176,176,176,176,176,-0.05160741,0.52275425,-0.29391786,1.3863508,3.3373132,0.083727226
177,177,177,177,177,177,0.11688118,0.69155,0.030883498,1.2846377,3.1774657,-0.112278916
178,178,178,178,178,178,0.1477611,0.8729799,0.009840701,1.1632738,3.2493896,0.24443111
179,179,179,179,179,179,0.14069015,0.8716826,0.016920673,1.4894012,3.3738568,0.2793398
180,180,180,180,180,180,0.37971774,0.8912725,0.16023874,1.7999592,3.7479458,0.33000293
181,181,181,181,181,181,0.5538013,1.2217227,0.300056,1.7820929,3.6696253,0.5330941
182,182,182,182,182,182,0.5469297,1.1294496,0.18663982,1.5811234,3.5729985,0.47714418
183,183,183,183,183,183,1.1359577,1.0930988,0.27245158,1.4379336,3.8246527,0.7650597
184,184,184,184,184,184,0.8775785,1.4685125,0.4137936,2.7495959,4.274453,1.0383159
185,185,185,185,185,185,0.8274795,1.179767,0.48437208,1.5713062,4.2362995,0.8459906
186,186,186,186,186,186,1.33155,1.348954,0.5876514,1.9447895,4.157789,0.89770836
