,lr_history,train_loss_history,train_loss1_history,train_loss2_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_loss1_history,val_loss2_history,val_epoch_loss_history,rmse_val_history
4039,1.8796978941502626e-05,0.013773499,0.00094139494,0.012832104,,,0.0019521391,0.00082304527,0.0011290938,,
4040,1.8780969209087675e-05,0.002281576,0.0005070374,0.0017745384,,,0.0053754435,0.00038454088,0.0049909027,,
4041,1.8764954875983763e-05,0.005728567,0.004128673,0.0015998941,,,0.015784428,0.0006807842,0.015103644,,
4042,1.8748935961677164e-05,0.0078118457,0.0006901386,0.0071217073,,,0.011113975,0.0012559108,0.009858064,,
4043,1.873291248565972e-05,0.013917771,0.003723938,0.010193833,,,0.002262468,0.00087883737,0.0013836307,,
4044,1.8716884467428816e-05,0.018504797,0.0005600903,0.017944707,,,0.00922369,0.0023448984,0.006878792,,
4045,1.8700851926487367e-05,0.011157982,0.0024873305,0.008670651,,,0.009306739,0.0013488538,0.007957885,,
4046,1.86848148823438e-05,0.013566101,0.0015712527,0.011994848,,,0.0022336054,0.0006455499,0.0015880555,,
4047,1.8668773354512e-05,0.024528394,0.00073714874,0.023791244,,,0.0025671446,0.00070512376,0.0018620209,,
4048,1.8652727362511337e-05,0.009309644,0.001312637,0.007997007,,,0.004236934,0.0009444603,0.0032924737,,
4049,1.8636676925866587e-05,0.015134293,0.0009617625,0.01417253,,,0.006184722,0.00031808164,0.0058666402,,
4050,1.862062206410795e-05,0.009675068,0.0015833359,0.008091732,,,0.005728653,0.0004457802,0.005282873,,
4051,1.8604562796771006e-05,0.012630001,0.0022438231,0.010386177,,,0.0029505421,0.0011995375,0.0017510047,,
4052,1.8588499143396692e-05,0.0073983027,0.0021843114,0.0052139913,,,0.016609212,0.0012957135,0.0153135,,
4053,1.8572431123531292e-05,0.0045895735,0.0005283748,0.004061199,,,0.011932775,0.0013406018,0.010592174,,
4054,1.855635875672639e-05,0.012339091,0.001043728,0.011295363,,,0.00255291,0.00039048702,0.002162423,,
4055,1.854028206253887e-05,0.0047171684,0.0004730266,0.0042441417,,,0.002370933,0.00028509652,0.0020858366,,
