,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_hitch_loss_hist,train_acc_yaw_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_hitch_loss_hist,val_acc_yaw_loss_hist,val_epoch_loss_history,rmse_val_history
43891,9.505382218462941e-06,0.00014851379,6.322093e-05,1.7217559e-06,4.614501e-07,1.6621932e-05,,,0.0002856241,7.510732e-05,1.1643632e-06,2.6222947e-06,4.1346026e-05,,
43892,9.503693182380438e-06,0.0003337038,1.7861748e-05,3.6012866e-06,7.7858897e-07,6.2292434e-05,,,0.0004165791,8.991603e-05,1.362596e-06,1.5128057e-06,6.4757536e-05,,
43893,9.50200429826347e-06,0.00019616587,0.000101939564,3.4408606e-06,1.5473536e-06,1.784762e-05,,,0.00039969827,0.00013335125,1.1478248e-06,2.556226e-06,5.2528594e-05,,
43894,9.500315566118279e-06,9.13476e-05,6.94259e-05,6.240336e-07,1.2569423e-06,4.0081445e-06,,,0.00022016019,7.80004e-05,6.499129e-07,1.6007513e-06,2.7981825e-05,,
43895,9.498626985951125e-06,0.00043100986,5.5372322e-05,3.7559475e-06,8.054242e-06,7.276547e-05,,,0.0002444979,0.00016731054,4.4659168e-07,1.5104929e-06,1.5046055e-05,,
43896,9.49693855776829e-06,0.00038537086,0.00012870698,3.7217883e-06,1.6999509e-06,5.0248433e-05,,,0.00046793505,0.00024235563,9.946775e-07,1.939016e-06,4.4529144e-05,,
43897,9.495250281576005e-06,0.00025404635,0.000108498105,1.4783517e-06,5.859886e-07,2.8696777e-05,,,0.00031569306,3.3580138e-05,1.2316782e-06,1.3258307e-06,5.5911085e-05,,
43898,9.493562157380559e-06,0.00088397076,0.0005615569,5.2059645e-06,8.165979e-07,6.327826e-05,,,0.0001511552,6.0194856e-05,7.1158087e-07,6.2251875e-06,1.6804715e-05,,
43899,9.491874185188187e-06,0.0005393625,4.6312995e-05,3.2215664e-06,1.176901e-06,9.773021e-05,,,0.00030788023,6.6153996e-05,1.0408148e-06,7.2317556e-07,4.7992446e-05,,
43900,9.49018636500515e-06,0.0004530793,3.555003e-05,3.0894314e-06,8.649319e-07,8.271498e-05,,,0.00020259319,4.387599e-05,7.349816e-07,1.3939661e-05,2.880851e-05,,
43901,9.488498696837695e-06,0.00032261957,0.00014952982,2.2503416e-06,1.6977052e-06,3.382834e-05,,,0.00031394113,7.616795e-05,1.0293754e-06,4.043761e-06,4.6540008e-05,,
43902,9.486811180692106e-06,0.0015546494,0.0012812852,6.631404e-06,5.1057154e-06,5.232542e-05,,,0.0002960972,6.779202e-05,1.022369e-06,1.47666315e-05,4.2503234e-05,,
43903,9.485123816574613e-06,0.00017111801,0.00012067659,1.1423177e-06,2.0774925e-07,9.818272e-06,,,0.00037504156,0.00022833695,7.385909e-07,2.8991128e-06,2.8613376e-05,,
43904,9.483436604491481e-06,0.0001703598,9.7512224e-05,1.2644816e-06,2.191561e-07,1.4272785e-05,,,0.0002347327,7.301235e-05,6.8182777e-07,1.0462038e-05,3.0115296e-05,,
43905,9.481749544448965e-06,0.00026056773,6.558093e-05,2.9664434e-06,2.1865787e-06,3.7966754e-05,,,0.00011339127,2.7602558e-05,4.562226e-07,3.1958896e-06,1.6427319e-05,,
43906,9.480062636453303e-06,0.00017895168,5.051646e-05,7.241765e-06,2.6625505e-06,2.3706183e-05,,,0.00085395866,0.0004775893,1.586334e-06,1.1323266e-06,7.473014e-05,,
43907,9.478375880510775e-06,0.00012107594,4.584164e-05,3.1377324e-06,3.668066e-06,1.3685702e-05,,,0.0006263207,0.000121478704,3.4484463e-06,2.4362016e-06,9.9791476e-05,,
43908,9.476689276627613e-06,0.0005435415,0.00029401283,7.1276645e-06,1.3602952e-06,4.8208145e-05,,,0.00017291863,3.5283214e-05,6.0494966e-07,6.8604954e-06,2.6033993e-05,,
43909,9.475002824810066e-06,0.0012136833,0.0007213037,4.1275507e-06,3.486041e-06,9.695319e-05,,,0.00026562868,5.1372113e-05,1.0814086e-06,1.552223e-05,3.9530587e-05,,
43910,9.473316525064406e-06,7.7762474e-05,5.318463e-05,8.685498e-07,4.5620226e-07,4.6506184e-06,,,0.00025998708,4.9825463e-05,9.414822e-07,2.2939225e-06,4.138524e-05,,
43911,9.471630377396874e-06,0.00030822464,6.4153275e-05,3.4431923e-06,5.6059946e-07,4.8013513e-05,,,0.00014595356,6.047859e-06,6.947353e-07,1.682376e-05,2.4477442e-05,,
43912,9.469944381813704e-06,0.00024666288,0.0001954481,3.5021797e-06,5.812425e-06,8.380034e-06,,,0.00022923238,7.2865565e-05,7.220743e-07,3.0461995e-06,3.051971e-05,,
43913,9.468258538321173e-06,0.000111841946,3.8179125e-05,2.0115576e-06,8.855359e-07,1.41531455e-05,,,0.00034667458,3.4596233e-05,1.5448444e-06,1.5711842e-06,6.179247e-05,,
43914,9.466572846925518e-06,0.00011450316,3.8589948e-05,1.0177056e-06,5.0070264e-07,1.487896e-05,,,0.00041548721,0.000100742,1.3273649e-06,3.2418093e-06,6.203521e-05,,
43915,9.464887307632986e-06,0.00015482902,6.9097456e-05,1.6990905e-06,3.8368296e-07,1.6729758e-05,,,0.00028101436,4.33339e-05,1.0568134e-06,3.130913e-06,4.6698544e-05,,
43916,9.46320192044983e-06,0.00025937535,8.313227e-05,3.2470318e-06,4.6050714e-06,3.3678196e-05,,,0.00022410505,4.5299497e-05,8.3126145e-07,7.6872607e-07,3.5441113e-05,,
43917,9.461516685382287e-06,7.970793e-05,4.005251e-05,8.1179115e-07,1.7617045e-06,7.416384e-06,,,0.00084193726,0.00062711677,1.572123e-06,3.2154828e-06,4.200657e-05,,
43918,9.459831602436597e-06,0.00023892004,9.005792e-05,3.3646738e-06,1.0759829e-06,2.8884293e-05,,,0.00042156182,7.5174175e-05,1.5790287e-06,3.7044676e-06,6.822083e-05,,
