,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
138,6.507490636704121e-06,0.013700232,,,0.56413734,,
139,6.554307116104869e-06,0.03027684,,,0.25412664,,
140,6.601123595505618e-06,0.23558575,,,0.057979587,,
141,6.6479400749063666e-06,0.09190262,,,0.08500627,,
142,6.694756554307116e-06,0.23785391,,,0.36714327,,
143,6.741573033707865e-06,0.23621963,,,0.30199027,,
144,6.788389513108615e-06,0.04587116,,,0.11015984,,
145,6.835205992509364e-06,0.0717196,,,0.2784298,,
146,6.8820224719101126e-06,0.17006122,,,0.32068262,,
147,6.928838951310862e-06,0.02077888,,,0.21314763,,
148,6.975655430711611e-06,0.040586405,,,0.07058887,,
149,7.022471910112361e-06,0.19904795,,,0.08124077,,
150,7.069288389513109e-06,0.067451894,,,0.33871672,,
151,7.116104868913858e-06,0.0026498844,,,0.12305173,,
152,7.162921348314606e-06,0.16871502,,,0.16444494,,
153,7.209737827715356e-06,0.12131039,,,0.015772432,,
154,7.256554307116105e-06,0.061913624,,,0.08973915,,
155,7.303370786516854e-06,0.19310491,,,0.31207478,,
156,7.350187265917603e-06,0.19113658,,,0.04423148,,
157,7.397003745318352e-06,0.075231895,,,0.16274524,,
158,7.443820224719102e-06,0.043317884,,,0.2747295,,
159,7.490636704119851e-06,0.069585145,,,0.2758294,,
160,7.5374531835206e-06,0.10449055,,,0.0016485179,,
161,7.584269662921349e-06,0.11077507,,,0.0018407161,,
162,7.631086142322098e-06,0.12147466,,,0.2207909,,
163,7.677902621722846e-06,0.09827147,,,0.27446666,,
164,7.724719101123595e-06,0.017481675,,,0.52929235,,
165,7.771535580524345e-06,0.29173025,,,0.17565382,,
166,7.818352059925094e-06,0.04688824,,,0.14921696,,
167,7.865168539325843e-06,0.20325305,,,0.16259731,,
168,7.911985018726593e-06,0.08144625,,,0.20040014,,
169,7.95880149812734e-06,0.182019,,,0.1591201,,
170,8.00561797752809e-06,0.12188837,,,0.011764025,,
171,8.05243445692884e-06,0.030697346,,,0.06122635,,
172,8.099250936329589e-06,0.0031904175,,,0.02894343,,
173,8.146067415730338e-06,0.033585567,,,0.26314184,,
174,8.192883895131087e-06,0.0073507074,,,0.06951831,,
175,8.239700374531835e-06,0.05445304,,,0.12498018,,
176,8.286516853932584e-06,0.27787733,,,0.37497845,,
177,8.333333333333334e-06,0.0168625,,,0.29671106,,
178,8.380149812734083e-06,0.061501544,,,0.022760935,,
179,8.426966292134832e-06,0.053488217,,,0.045088172,,
180,8.47378277153558e-06,0.013958834,,,0.3643033,,
181,8.52059925093633e-06,0.08916278,,,0.31115398,,
182,8.567415730337079e-06,0.047135126,,,0.11790275,,
183,8.614232209737828e-06,0.08207908,,,0.24554226,,
184,8.661048689138578e-06,0.17112602,,,0.14545949,,
185,8.707865168539327e-06,0.008211332,,,0.06921162,,
186,8.754681647940076e-06,0.26223594,,,0.12635933,,
187,8.801498127340826e-06,0.018472645,,,0.2443728,,
188,8.848314606741573e-06,0.02421081,,,0.39012504,,
189,8.895131086142323e-06,0.026438229,,,0.12346491,,
190,8.94194756554307e-06,0.02740906,,,0.3419045,,
191,8.98876404494382e-06,0.0690142,,,0.24891578,,
