,lr_history,train_loss_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_epoch_loss_history,rmse_val_history
72,1.46e-06,46.308994,,,3.4838753,,
73,1.4800000000000002e-06,8.204128,,,4.388824,,
74,1.5e-06,12.394473,,,4.8873653,,
75,1.52e-06,0.68000436,,,1.2414404,,
76,1.54e-06,3.4197147,,,2.1853418,,
77,1.56e-06,0.24903657,,,9.591961,,
78,1.5800000000000003e-06,2.0285566,,,0.74727386,,
79,1.6000000000000001e-06,11.69472,,,0.454708,,
80,1.62e-06,0.4345992,,,1.2425133,,
81,1.6400000000000002e-06,65.28781,,,2.2712312,,
82,1.6600000000000002e-06,5.806557,,,0.57604784,,
83,1.68e-06,38.77987,,,5.385706,,
84,1.7000000000000002e-06,24.51293,,,2.7010095,,
85,1.72e-06,0.2953094,,,4.927633,,
86,1.7399999999999999e-06,30.86293,,,1.1556349,,
87,1.76e-06,6.5741315,,,4.0445757,,
88,1.7800000000000001e-06,47.937508,,,0.86594105,,
89,1.8e-06,0.20476377,,,0.68968904,,
90,1.8200000000000002e-06,33.57412,,,0.985416,,
91,1.84e-06,12.362652,,,0.22787942,,
92,1.86e-06,39.9749,,,2.3034847,,
93,1.8800000000000002e-06,11.635842,,,0.17296429,,
94,1.9e-06,9.978656,,,0.36533695,,
95,1.92e-06,0.2512763,,,0.87608737,,
96,1.94e-06,7.51103,,,0.9467596,,
97,1.96e-06,0.48495442,,,1.292494,,
98,1.98e-06,9.975494,,,0.09535201,,
99,2.0000000000000003e-06,8.018855,,,0.7329256,,
100,2.02e-06,1.889211,,,0.21316504,,
101,2.0400000000000004e-06,0.6337551,,,0.10658436,,
102,2.06e-06,0.40237263,,,2.0754268,,
103,2.08e-06,11.948976,,,2.8939219,,
104,2.1000000000000002e-06,0.5940666,,,3.9024322,,
105,2.12e-06,0.6775851,,,2.7537725,,
106,2.14e-06,139.10617,,,5.8816595,,
107,2.16e-06,0.63015515,,,0.18046351,,
108,2.1800000000000003e-06,1.053551,,,1.375623,,
109,2.2e-06,39.75725,,,8.177861,,
110,2.2200000000000003e-06,54.48869,,,1.7011784,,
111,2.24e-06,0.7024328,,,0.7162012,,
112,2.26e-06,15.221541,,,0.64076287,,
113,2.28e-06,0.2683221,,,3.557218,,
114,2.3e-06,37.738914,,,2.3041549,,
115,2.32e-06,92.80523,,,2.7347245,,
116,2.34e-06,0.4998415,,,3.5695236,,
117,2.36e-06,28.252047,,,0.8544849,,
118,2.38e-06,18.083286,,,0.47596937,,
119,2.4000000000000003e-06,3.751027,,,1.2686394,,
120,2.42e-06,97.135895,,,0.10331266,,
121,2.4400000000000004e-06,3.7211895,,,1.5854759,,
122,2.46e-06,32.758488,,,1.3275719,,
123,2.48e-06,1.6141918,,,7.536082,,
124,2.5e-06,0.66762435,,,3.9305012,,
125,2.52e-06,28.496664,,,5.1128135,,
126,2.54e-06,0.4139777,,,0.772467,,
127,2.56e-06,0.46529436,,,1.7835859,,
128,2.5800000000000003e-06,11.376811,,,0.104447655,,
129,2.6e-06,52.962555,,,1.7796516,,
130,2.6200000000000003e-06,0.6952054,,,4.192015,,
131,2.64e-06,98.442825,,,0.6351334,,
