,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_epoch_loss_history,rmse_val_history
13765,9.866242794275041e-06,0.004365268,0.00028534883,0.0040799193,,,,,,,
13766,9.861060788984096e-06,0.008000869,0.0007723956,0.007228474,,,,,,,
13767,9.855879478478638e-06,0.0014283437,0.00014551243,0.0012828313,,,,,,,
13768,9.850698863459191e-06,0.007931107,0.0002612939,0.007669813,,,,,,,
13769,9.845518944626173e-06,0.003173351,8.002977e-05,0.0030933213,,,,,,,
13770,9.840339722679903e-06,0.0006416345,0.000121176716,0.0005204578,,,,,,,
13771,9.83516119832062e-06,0.0133446995,0.00018695457,0.013157745,,,,,,,
13772,9.829983372248455e-06,0.0031902343,0.000100974044,0.0030892603,,,,,,,
13773,9.824806245163457e-06,0.0012312898,3.7788486e-05,0.0011935013,,,,,,,
13774,9.819629817765576e-06,0.0015883951,0.00014149526,0.0014468998,,,,,,,
13775,9.814454090754657e-06,0.0102421045,0.0015264216,0.008715683,,,,,,,
13776,9.809279064830467e-06,0.001541757,0.0005392759,0.0010024811,,,,,,,
13777,9.804104740692663e-06,0.0010282015,0.00021148447,0.0008167171,,,,,,,
13778,9.798931119040826e-06,0.0062901946,0.0005559346,0.0057342597,,,,,,,
13779,9.793758200574421e-06,0.0028086167,0.00012435604,0.0026842607,,,,,,,
13780,9.78858598599283e-06,0.0051329643,0.00048072508,0.0046522394,,,,,,,
13781,9.783414475995337e-06,0.00089169794,0.00011937592,0.000772322,,,,,,,
13782,9.77824367128113e-06,0.0013642109,8.45773e-05,0.0012796335,,,,,,,
13783,9.773073572549311e-06,0.005959256,0.00018463995,0.0057746163,,,,,,,
13784,9.767904180498861e-06,0.00091041223,3.3460026e-05,0.0008769522,,,,,,,
13785,9.762735495828706e-06,0.0034073878,0.00034283046,0.0030645572,,,,,,,
13786,9.757567519237633e-06,0.0033336806,0.00016492093,0.0031687596,,,,,,,
13787,9.752400251424361e-06,0.009744254,9.0020025e-05,0.009654234,,,,,,,
13788,9.74723369308751e-06,0.0019782975,0.00032352985,0.0016547675,,,,,,,
13789,9.742067844925588e-06,0.001014933,0.00029046595,0.0007244671,,,,,,,
13790,9.73690270763703e-06,0.0019966455,0.0001084655,0.0018881799,,,,,,,
13791,9.731738281920159e-06,0.0017686461,0.0003524095,0.0014162365,,,,,,,
13792,9.726574568473205e-06,0.004160206,0.0004971534,0.0036630526,,,,,,,
13793,9.721411567994309e-06,0.0065185404,0.00030661692,0.0062119234,,,,,,,
13794,9.716249281181497e-06,0.0029614414,0.00022507814,0.0027363633,,,,,,,
13795,9.711087708732725e-06,0.00096428924,0.00016647781,0.00079781143,,,,,,,
